original_model_code,device_name,announced_date,release_date,price,inferred_brand,source_url,processed_time,method_used,display_size,operating_system,chipset,storage,battery,dimensions,weight,network
SM-J415G,Samsung Galaxy J4+,"2018, September","Released 2018, October",About 220 EUR,Samsung,https://www.gsmarena.com/samsung_galaxy_j4+-9335.php,2025-07-16 15:17:02,google_gsmarena,"6.0 inches, 91.4 cm2(~73.6% screen-to-body ratio)",,Qualcomm MSM8917 Snapdragon 425 (28 nm),"16GB 2GB RAM, 32GB 2GB RAM, 32GB 3GB RAM","Li-Ion 3300 mAh, non-removable",,178 g (6.28 oz),
moto g(50) 5G,Motorola Moto G75,"2024, October 01","Available. Released 2024, October 28",$ 299.99 / € 215.00,Motorola,https://www.gsmarena.com/motorola_moto_g75-13372.php,2025-07-16 15:17:33,gsmchoice_gsmarena,"6.78 inches, 111.4 cm2(~86.8% screen-to-body ratio)",,Qualcomm SM6475-AB Snapdragon 6 Gen 3 (4 nm),"128GB 8GB RAM, 256GB 8GB RAM",5000 mAh,,205 g or 208 g (7.23 oz),
ZTE 8050,ZTE Blade V50 Design 4G,"2023, October","Available. Released 2023, October",About 120 EUR,ZTE,https://www.gsmarena.com/zte_blade_v50_design_4g-12712.php,2025-07-16 15:17:46,google_gsmarena,"6.6 inches, 104.9 cm2(~83.6% screen-to-body ratio)",,Unisoc T606 (12 nm),"128GB 8GB RAM, 256GB 4GB RAM, 256GB 8GB RAM",Li-Po 5000 mAh,,207 g (7.30 oz),
