original_model_code,device_name,announced_date,release_date,price,inferred_brand,source_url,processed_time,method_used,display_size,operating_system,chipset,storage,battery,dimensions,weight,network
TANK 2 PRO,vivo X200 FE,"2025, June 23","Available. Released 2025, July 05",€ 799.00,Ulefone,https://www.gsmarena.com/vivo_x200_fe-13847.php,2025-07-16 15:31:43,gsmchoice_gsmarena,"6.31 inches, 97.6 cm2(~90.2% screen-to-body ratio)",,Mediatek Dimensity 9300+ (4 nm),"256GB 12GB RAM, 512GB 12GB RAM, 512GB 16GB RAM",Si/C Li-Ion 6500 mAh (Global)Si/C Li-Ion 5300 mAh (Austria & Hungary only),,186 g (6.56 oz),
ZTE A7040,ZTE Blade A75,"2024, September","Available. Released 2024, September",About 170 EUR,ZTE,https://www.gsmarena.com/zte_blade_a75-13376.php,2025-07-16 15:32:58,gsmchoice_gsmarena,"6.6 inches, 105.4 cm2(~86.0% screen-to-body ratio)",,Unisoc T760 (6 nm),128GB 4GB RAM,5000 mAh,,205.5 g (7.27 oz),
moto g stylus,Motorola Moto G Stylus,"2020, February 07","Available. Released 2020, April 16",About 70 EUR,Motorola,https://www.gsmarena.com/motorola_moto_g_stylus-10057.php,2025-07-16 15:33:18,google_gsmarena,"6.4 inches, 100.7 cm2(~83.7% screen-to-body ratio)",,Qualcomm SDM665 Snapdragon 665 (11 nm),128GB 4GB RAM,Li-Po 4000 mAh,,192 g (6.77 oz),
SM-A137F,Samsung Galaxy A13 (SM-A137),"2022, June","Available. Released 2022, July",About 180 EUR,Samsung,https://www.gsmarena.com/samsung_galaxy_a13_(sm_a137)-11665.php,2025-07-16 15:33:34,google_gsmarena,"6.6 inches, 104.9 cm2(~83.2% screen-to-body ratio)",,Mediatek MT6769V/CU Helio G80 (12 nm),"32GB 3GB RAM, 32GB 4GB RAM, 64GB 4GB RAM, 128GB 4GB RAM",Li-Po 5000 mAh,,195 g (6.88 oz),
TECNO BG6,Tecno Spark Go 2024,"2023, November 21","Available. Released 2023, December 07",About 90 EUR,Tecno,https://www.gsmarena.com/tecno_spark_go_2024-12702.php,2025-07-16 15:33:51,google_gsmarena,"6.6 inches, 104.6 cm2(~84.6% screen-to-body ratio)",,Unisoc T606 (12 nm),"64GB 2GB RAM, 64GB 3GB RAM, 64GB 4GB RAM, 128GB 4GB RAM",5000 mAh,,-,
LOGIC L66 PRO,Yezz Art 3S,"2022, September","Available. Released 2023, January",About 110 EUR,Logic,https://www.gsmarena.com/yezz_art_3s-12101.php,2025-07-16 15:34:12,google_gsmarena,"6.52 inches, 102.6 cm2(~80.6% screen-to-body ratio)",,Unisoc SC9863A (28 nm),"64GB 4GB RAM, 128GB 4GB RAM",Li-Po 5000 mAh,,190 g (6.70 oz),
SM-N976U,Samsung Galaxy Note10+ 5G,"2019, August","Available. Released 2019, August",About 700 EUR,Samsung,https://www.gsmarena.com/samsung_galaxy_note10+_5g-9787.php,2025-07-16 15:34:26,google_gsmarena,"6.8 inches, 114.0 cm2(~91.0% screen-to-body ratio)",,Exynos 9825 (7 nm) - EMEA/LATAMQualcomm SM8150 Snapdragon 855 (7 nm) - USA/China,"256GB 12GB RAM, 512GB 12GB RAM","Li-Ion 4300 mAh, non-removable",,198 g (6.98 oz),
G53,Motorola Moto G53,"2022, December 15","Available. Released 2022, December 15",$ 295.00 / € 139.99,Unknown,https://www.gsmarena.com/motorola_moto_g53-12028.php,2025-07-16 15:35:09,gsmchoice_gsmarena,"6.5 inches, 102.0 cm2(~83.9% screen-to-body ratio)",,Qualcomm SM4350-AC Snapdragon 480+ 5G (8 nm),"64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM",Li-Po 5000 mAh,,183 g (6.46 oz),
moto g(7) plus,Motorola Moto G7 Plus,"2019, February","Released 2019, March",About 120 EUR,Motorola,https://www.gsmarena.com/motorola_moto_g7_plus-9533.php,2025-07-16 15:35:54,gsmchoice_gsmarena,"6.2 inches, 96.2 cm2(~81.4% screen-to-body ratio)",,Qualcomm SDM636 Snapdragon 636 (14 nm),64GB 4GB RAM,"Li-Ion 3000 mAh, non-removable",,176 g (6.21 oz),
Hisense E50 Lite,Honor 50 Lite,"2021, October 25","Available. Released 2021, November 17",About 160 EUR,Hisense,https://www.gsmarena.com/honor_50_lite-11175.php,2025-07-16 15:36:12,google_gsmarena,"6.67 inches, 108.1 cm2(~89.5% screen-to-body ratio)",,,"128GB 6GB RAM, 128GB 8GB RAM",Li-Po 4300 mAh,,192 g (6.77 oz),
