original_model_code,device_name,announced_date,announced_date_source,price,is_closest_match,inferred_brand,source_url,processed_time,method_used
TANK2,Unknown,,gsmarena,,False,Ulefone,https://www.gsmarena.com/search.php3,2025-07-16 17:30:55,gsmarena_direct
moto g stylus 5G,Motorola Edge 60 Stylus,"2025, April 10",gsmarena,,False,Motorola,https://www.gsmarena.com/motorola_edge_60_stylus_5g-13785.php,2025-07-16 17:31:19,gsmarena_moto_direct
moto g 5G,Motorola G96,"2025, July 09",gsmarena,About 180 EUR,False,Motorola,https://www.gsmarena.com/motorola_g96_5g-13989.php,2025-07-16 17:31:39,gsmarena_moto_direct
moto e(6) plus,Motorola Moto E6 Plus,"2019, September 05",gsmarena,About 200 EUR,True,Motorola,https://www.gsmarena.com/motorola_moto_e6_plus-9831.php,2025-07-16 17:32:01,gsmarena_moto_direct
SM-A920F,Samsung Galaxy A9 (2018),"2018, October",gsmarena,About 550 EUR,False,Samsung,https://www.gsmarena.com/samsung_galaxy_a9_(2018)-9344.php,2025-07-16 17:32:19,google_gsmarena
moto e14,Motorola Moto E14,"2024, June",gsmarena,€ 77.58,True,Motorola,https://www.gsmarena.com/motorola_moto_e14-13148.php,2025-07-16 17:32:43,gsmarena_moto_direct
ZTE A2022L,ZTE RedMagic Astra,"2025, June 11",gsmarena,About 500 EUR,True,ZTE,https://www.gsmarena.com/zte_redmagic_astra-13939.php,2025-07-16 17:33:30,gsmarena_direct
G3223,Sony Xperia XA1 Ultra,"2017, February",gsmarena,About 250 EUR,False,Unknown,https://www.gsmarena.com/sony_xperia_xa1_ultra-8595.php,2025-07-16 17:34:24,gsmarena_direct
STELLAR P7,Allview P7 Seon,"2014, July",gsmarena,About 230 EUR,False,Stellar,https://www.gsmarena.com/allview_p7_seon-6858.php,2025-07-16 17:34:42,google_gsmarena
ZTE Blade A33s,ZTE Blade A33s,"2023, November",gsmarena,,False,ZTE,https://www.gsmarena.com/zte_blade_a33s-13550.php,2025-07-16 17:35:00,google_gsmarena
G63,BLU G63,"2023, June",gsmarena,About 120 EUR,False,Unknown,https://www.gsmarena.com/blu_g63-12458.php,2025-07-16 17:36:18,gsmarena_direct
SHARK KSR-H0,Xiaomi Black Shark 4,"2021, March 23",gsmarena,About 930 EUR,False,Shark,https://www.gsmarena.com/xiaomi_black_shark_4-10714.php,2025-07-16 17:36:34,google_gsmarena
ZTE 9046,ZTE RedMagic Astra,"2025, June 11",gsmarena,About 500 EUR,True,ZTE,https://www.gsmarena.com/zte_redmagic_astra-13939.php,2025-07-16 17:37:29,gsmarena_direct
moto g(6) plus,Motorola Moto G6 Plus,"2018, April",gsmarena,About 190 EUR,False,Motorola,https://www.gsmarena.com/motorola_moto_g6_plus-9001.php,2025-07-16 17:38:19,gsmarena_moto_direct
ZTE Blade L210,ZTE Blade L2,"2014, May",gsmarena,About 130 EUR,False,ZTE,https://www.gsmarena.com/zte_blade_l2-6367.php,2025-07-16 17:38:35,google_gsmarena
Hisense E50 128G,Honor 50 Lite,"2021, October 25",gsmarena,About 160 EUR,False,Hisense,https://www.gsmarena.com/honor_50_lite-11175.php,2025-07-16 17:38:53,google_gsmarena
LM-X525,LG Q60,"2019, February",gsmarena,About 230 EUR,False,LG,https://www.gsmarena.com/lg_q60-9585.php,2025-07-16 17:39:50,gsmarena_direct
Hisense U50,Unknown,,gsmarena,,False,Hisense,https://www.gsmarena.com/results.php3?sFreeText=Hisense U50,2025-07-16 17:40:46,gsmarena_direct
65PA1,Unknown,,gsmarena,,False,Unknown,https://www.gsmarena.com/search.php3,2025-07-16 17:41:37,gsmarena_direct
ALT-LX3,Unknown,,gsmarena,,False,Huawei,https://www.gsmarena.com/search.php3,2025-07-16 17:42:31,gsmarena_direct
ZTE 9045,ZTE Blade V40 Vita,"2022, May 31",gsmarena,About 130 EUR,False,ZTE,https://www.gsmarena.com/zte_blade_v40_vita-11579.php,2025-07-16 17:42:49,google_gsmarena
moto g stylus 5G - 2023,Motorola Moto G Stylus 5G (2023),"2023, May 30",gsmarena,$ 76.62,False,Motorola,https://www.gsmarena.com/motorola_moto_g_stylus_5g_(2023)-12301.php,2025-07-16 17:43:10,gsmarena_moto_direct
Q5,BlackBerry Q5,"2013, May",gsmarena,About 70 EUR,False,Unknown,https://www.gsmarena.com/blackberry_q5-5452.php,2025-07-16 17:43:31,google_gsmarena
Motorola Defy,Motorola DEFY,"2010, September",gsmarena,About 110 EUR,False,Motorola,https://www.gsmarena.com/motorola_defy-3514.php,2025-07-16 17:44:22,gsmarena_moto_direct
Mi A2 Lite,Xiaomi Mi A2 Lite (Redmi 6 Pro),"2018, July",gsmarena,About 380 EUR,False,Xiaomi,https://www.gsmarena.com/xiaomi_mi_a2_lite_(redmi_6_pro)-9247.php,2025-07-16 17:44:42,google_gsmarena
ALP-L09,Huawei Mate 10,"2017, October",gsmarena,About 230 EUR,False,Unknown,https://www.gsmarena.com/huawei_mate_10-8877.php,2025-07-16 17:45:00,google_gsmarena
