original_model_code,device_name,announced_date,announced_date_source,price,is_closest_match,inferred_brand,source_url,processed_time,method_used
SM-J415G,Samsung Galaxy J4+,"2018, September",gsmarena,About 220 EUR,False,Samsung,https://www.gsmarena.com/samsung_galaxy_j4+-9335.php,2025-07-16 17:12:57,google_gsmarena
KINGKONG POWER,Cubot KingKong Power,2023,gsmarena,About 210 EUR,False,Cubot,https://www.gsmarena.com/cubot_kingkong_power-12303.php,2025-07-16 17:13:16,google_gsmarena
SM-A217M,Samsung Galaxy A21s,"2020, May 15",gsmarena,About 220 EUR,False,Samsung,https://www.gsmarena.com/samsung_galaxy_a21s-10239.php,2025-07-16 17:14:10,gsmarena_direct
ZTE Blade V10,ZTE Blade V10 Vita,"2019, February",gsmarena,,False,ZTE,https://www.gsmarena.com/zte_blade_v10_vita-9715.php,2025-07-16 17:14:29,google_gsmarena
SM-A730F,Samsung Galaxy A8+ (2018),"2017, December",gsmarena,About 300 EUR,False,Samsung,https://www.gsmarena.com/samsung_galaxy_a8+_(2018)-8790.php,2025-07-16 17:14:46,google_gsmarena
W-V770,Wiko T3,"2021, December",gsmarena,,False,Wiko,https://www.gsmarena.com/wiko_t3-11601.php,2025-07-16 17:15:05,google_gsmarena
Hisense H60 Smart,Infinix Smart 10,"2025, June 16",gsmarena,About 60 EUR,True,Hisense,https://www.gsmarena.com/infinix_smart_10-13933.php,2025-07-16 17:16:14,gsmarena_direct
ZTE 8050,ZTE Blade V50 Design 4G,"2023, October",gsmarena,About 120 EUR,False,ZTE,https://www.gsmarena.com/zte_blade_v50_design_4g-12712.php,2025-07-16 17:16:29,google_gsmarena
SM-J810M,Samsung Galaxy J8,"2018, May",gsmarena,About 310 EUR,False,Samsung,https://www.gsmarena.com/samsung_galaxy_j8-9205.php,2025-07-16 17:17:41,gsmarena_direct
moto g(9) plus,Motorola Moto G9 Plus,"2020, September 07",gsmarena,About 300 EUR,False,Motorola,https://www.gsmarena.com/motorola_moto_g9_plus-10432.php,2025-07-16 17:18:25,gsmarena_moto_direct
ZTE 8010,ZTE Blade V20,Not announced yet,gsmarena,,False,ZTE,https://www.gsmarena.com/zte_blade_v20-9913.php,2025-07-16 17:18:44,google_gsmarena
KINGKONG_AX,Cubot KingKong AX,"2024, March",gsmarena,About 240 EUR,False,Cubot,https://www.gsmarena.com/cubot_kingkong_ax-12916.php,2025-07-16 17:19:56,gsmarena_direct
Hisense E60,Unknown,,gsmarena,,False,Hisense,https://www.gsmarena.com/results.php3?sFreeText=Hisense E60,2025-07-16 17:20:52,gsmarena_direct
moto g(50) 5G,Motorola Moto G50,"2021, March 25",gsmarena,About 190 EUR,True,Motorola,https://www.gsmarena.com/motorola_moto_g50-10789.php,2025-07-16 17:21:23,gsmarena_moto_direct
moto g(8) plus,Motorola Moto G8 Plus,"2019, October 24",gsmarena,About 270 EUR,False,Motorola,https://www.gsmarena.com/motorola_moto_g8_plus-9916.php,2025-07-16 17:22:12,gsmarena_moto_direct
ZTE 9050N,ZTE Blade V50,"2023, September",gsmarena,About 220 EUR,False,ZTE,https://www.gsmarena.com/zte_blade_v50-12613.php,2025-07-16 17:22:29,google_gsmarena
LM-X420,LG K40,"2019, February",gsmarena,About 140 EUR,False,LG,https://www.gsmarena.com/lg_k40-9587.php,2025-07-16 17:22:48,google_gsmarena
ZTE A7040,ZTE RedMagic Astra,"2025, June 11",gsmarena,About 500 EUR,True,ZTE,https://www.gsmarena.com/zte_redmagic_astra-13939.php,2025-07-16 17:25:53,gsmarena_direct
moto g stylus,Motorola Edge 60 Stylus,"2025, April 10",gsmarena,,False,Motorola,https://www.gsmarena.com/motorola_edge_60_stylus_5g-13785.php,2025-07-16 17:26:30,gsmarena_moto_direct
SM-A137F,Samsung Galaxy A13 (SM-A137),"2022, June",gsmarena,About 180 EUR,False,Samsung,https://www.gsmarena.com/samsung_galaxy_a13_(sm_a137)-11665.php,2025-07-16 17:26:44,google_gsmarena
TECNO BG6,Tecno Spark Go 2024,"2023, November 21",gsmarena,About 90 EUR,False,Tecno,https://www.gsmarena.com/tecno_spark_go_2024-12702.php,2025-07-16 17:27:04,google_gsmarena
LOGIC L66 PRO,Yezz Art 3S,"2022, September",gsmarena,About 110 EUR,False,Logic,https://www.gsmarena.com/yezz_art_3s-12101.php,2025-07-16 17:27:22,google_gsmarena
SM-N976U,Samsung Galaxy Note10+ 5G,"2019, August",gsmarena,About 700 EUR,False,Samsung,https://www.gsmarena.com/samsung_galaxy_note10+_5g-9787.php,2025-07-16 17:27:41,google_gsmarena
G53,Samsung Galaxy J2 Prime,"2016, November",gsmarena,About 130 EUR,False,Unknown,https://www.gsmarena.com/samsung_galaxy_j2_prime-8424.php,2025-07-16 17:28:46,gsmarena_direct
moto g(7) plus,Motorola Moto G7 Plus,"2019, February",gsmarena,About 120 EUR,False,Motorola,https://www.gsmarena.com/motorola_moto_g7_plus-9533.php,2025-07-16 17:29:44,gsmarena_moto_direct
Hisense E50 Lite,Honor 50 Lite,"2021, October 25",gsmarena,About 160 EUR,False,Hisense,https://www.gsmarena.com/honor_50_lite-11175.php,2025-07-16 17:30:03,google_gsmarena
