model_code,error_message,failed_time
ZTE Blade L210,所有搜索方法都失败,2025-07-16 15:43:32
Hisense E50 128G,所有搜索方法都失败,2025-07-16 15:44:00
LM-X525,所有搜索方法都失败,2025-07-16 15:44:25
Hisense U50,所有搜索方法都失败,2025-07-16 15:44:52
65PA1,所有搜索方法都失败,2025-07-16 15:45:21
ALT-LX3,所有搜索方法都失败,2025-07-16 15:45:49
ZTE 9045,所有搜索方法都失败,2025-07-16 15:46:13
moto g stylus 5G - 2023,所有搜索方法都失败,2025-07-16 15:46:39
Q5,所有搜索方法都失败,2025-07-16 15:47:08
Motorola Defy,所有搜索方法都失败,2025-07-16 15:47:34
Mi A2 Lite,所有搜索方法都失败,2025-07-16 15:48:01
ALP-L09,所有搜索方法都失败,2025-07-16 15:48:27
